s;Players
01.12.2016 00:00;11
02.12.2016 00:00;
03.12.2016 00:00;
04.12.2016 00:00;
05.12.2016 00:00;
06.12.2016 00:00;
07.12.2016 00:00;
08.12.2016 00:00;
09.12.2016 00:00;
10.12.2016 00:00;
11.12.2016 00:00;
12.12.2016 00:00;
13.12.2016 00:00;
14.12.2016 00:00;
15.12.2016 00:00;
16.12.2016 00:00;
17.12.2016 00:00;
18.12.2016 00:00;
19.12.2016 00:00;
20.12.2016 00:00;
21.12.2016 00:00;
22.12.2016 00:00;
23.12.2016 00:00;
24.12.2016 00:00;
25.12.2016 00:00;
26.12.2016 00:00;
27.12.2016 00:00;
28.12.2016 00:00;
29.12.2016 00:00;
30.12.2016 00:00;
31.12.2016 00:00;
01.01.2017 00:00;4
02.01.2017 00:00;
03.01.2017 00:00;
04.01.2017 00:00;
05.01.2017 00:00;
06.01.2017 00:00;
07.01.2017 00:00;
08.01.2017 00:00;
09.01.2017 00:00;
10.01.2017 00:00;
11.01.2017 00:00;
12.01.2017 00:00;
13.01.2017 00:00;
14.01.2017 00:00;
15.01.2017 00:00;
16.01.2017 00:00;
17.01.2017 00:00;
18.01.2017 00:00;
19.01.2017 00:00;
20.01.2017 00:00;
21.01.2017 00:00;
22.01.2017 00:00;
23.01.2017 00:00;
24.01.2017 00:00;
25.01.2017 00:00;
26.01.2017 00:00;
27.01.2017 00:00;
28.01.2017 00:00;
29.01.2017 00:00;
30.01.2017 00:00;
31.01.2017 00:00;
01.02.2017 00:00;21
02.02.2017 00:00;
03.02.2017 00:00;
04.02.2017 00:00;
05.02.2017 00:00;
06.02.2017 00:00;
07.02.2017 00:00;
08.02.2017 00:00;
09.02.2017 00:00;
10.02.2017 00:00;
11.02.2017 00:00;
12.02.2017 00:00;
13.02.2017 00:00;
14.02.2017 00:00;
15.02.2017 00:00;
16.02.2017 00:00;
17.02.2017 00:00;
18.02.2017 00:00;
19.02.2017 00:00;
20.02.2017 00:00;
21.02.2017 00:00;
22.02.2017 00:00;
23.02.2017 00:00;
24.02.2017 00:00;
25.02.2017 00:00;
26.02.2017 00:00;
27.02.2017 00:00;
28.02.2017 00:00;
01.03.2017 00:00;33
02.03.2017 00:00;
03.03.2017 00:00;
04.03.2017 00:00;
05.03.2017 00:00;
06.03.2017 00:00;
07.03.2017 00:00;
08.03.2017 00:00;
09.03.2017 00:00;
10.03.2017 00:00;
11.03.2017 00:00;
12.03.2017 00:00;
13.03.2017 00:00;
14.03.2017 00:00;
15.03.2017 00:00;
16.03.2017 00:00;
17.03.2017 00:00;
18.03.2017 00:00;
19.03.2017 00:00;
20.03.2017 00:00;
21.03.2017 00:00;
22.03.2017 00:00;
23.03.2017 00:00;
24.03.2017 00:00;
25.03.2017 00:00;
26.03.2017 00:00;
27.03.2017 00:00;
28.03.2017 00:00;
29.03.2017 00:00;
30.03.2017 00:00;
31.03.2017 00:00;
01.04.2017 00:00;9
02.04.2017 00:00;
03.04.2017 00:00;
04.04.2017 00:00;
05.04.2017 00:00;
06.04.2017 00:00;
07.04.2017 00:00;
08.04.2017 00:00;
09.04.2017 00:00;
10.04.2017 00:00;
11.04.2017 00:00;
12.04.2017 00:00;4
13.04.2017 00:00;4
14.04.2017 00:00;5
15.04.2017 00:00;4
16.04.2017 00:00;2
17.04.2017 00:00;2
18.04.2017 00:00;5
19.04.2017 00:00;5
20.04.2017 00:00;5
21.04.2017 00:00;4
22.04.2017 00:00;6
23.04.2017 00:00;1
24.04.2017 00:00;2
25.04.2017 00:00;3
26.04.2017 00:00;4
27.04.2017 00:00;4
28.04.2017 00:00;6
29.04.2017 00:00;4
30.04.2017 00:00;4
01.05.2017 00:00;1
02.05.2017 00:00;4
03.05.2017 00:00;7
04.05.2017 00:00;5
05.05.2017 00:00;5
06.05.2017 00:00;4
07.05.2017 00:00;1
08.05.2017 00:00;6
09.05.2017 00:00;3
10.05.2017 00:00;3
11.05.2017 00:00;4
12.05.2017 00:00;16
13.05.2017 00:00;10
14.05.2017 00:00;12
15.05.2017 00:00;5
16.05.2017 00:00;9
17.05.2017 00:00;10
18.05.2017 00:00;10
19.05.2017 00:00;5
20.05.2017 00:00;7
21.05.2017 00:00;9
22.05.2017 00:00;5
23.05.2017 00:00;6
24.05.2017 00:00;6
25.05.2017 00:00;3
26.05.2017 00:00;8
27.05.2017 00:00;6
28.05.2017 00:00;3
29.05.2017 00:00;5
30.05.2017 00:00;6
31.05.2017 00:00;3
01.06.2017 00:00;4
02.06.2017 00:00;2
03.06.2017 00:00;2
04.06.2017 00:00;5
05.06.2017 00:00;4
06.06.2017 00:00;5
07.06.2017 00:00;6
08.06.2017 00:00;4
09.06.2017 00:00;6
10.06.2017 00:00;7
11.06.2017 00:00;8
12.06.2017 00:00;7
13.06.2017 00:00;6
14.06.2017 00:00;5
15.06.2017 00:00;5
16.06.2017 00:00;6
17.06.2017 00:00;6
18.06.2017 00:00;7
19.06.2017 00:00;4
20.06.2017 00:00;8
21.06.2017 00:00;10
22.06.2017 00:00;4
23.06.2017 00:00;6
24.06.2017 00:00;5
25.06.2017 00:00;6
26.06.2017 00:00;123
27.06.2017 00:00;84
28.06.2017 00:00;62
29.06.2017 00:00;43
30.06.2017 00:00;40
01.07.2017 00:00;26
02.07.2017 00:00;28
03.07.2017 00:00;19
04.07.2017 00:00;22
05.07.2017 00:00;22
06.07.2017 00:00;17
07.07.2017 00:00;19
08.07.2017 00:00;14
09.07.2017 00:00;22
10.07.2017 00:00;22
11.07.2017 00:00;15
12.07.2017 00:00;12
13.07.2017 00:00;15
14.07.2017 00:00;12
15.07.2017 00:00;12
